* Measurement data measured by REW V5.20.13
* Source: C:\Users\T-Gamer\Desktop\VDSF Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 29/05/2023 16:16:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\T-Gamer\Desktop\VDSF Target.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20.040 Hz log spaced
* Measurement: VDSF Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
10000.000000	85.334
10150.000000	85.080
10300.000000	84.742
10440.000000	84.390
10600.000000	83.966
10750.000000	83.550
10900.000000	83.120
11060.000000	82.653
11200.000000	82.246
11380.000000	81.725
11500.000000	81.383
11720.000000	80.770
11800.000000	80.554
12060.000000	79.882
12200.000000	79.560
12410.000000	79.169
12500.000000	79.043
12650.000000	78.888
12800.000000	78.781
13150.000000	78.608
13200.000000	78.585
13400.000000	78.500
13600.000000	78.423
13800.000000	78.355
14000.000000	78.285
14300.000000	78.156
14500.000000	78.056
14750.000000	77.925
15000.000000	77.781
15250.000000	77.602
15500.000000	77.382
15750.000000	77.116
16000.000000	76.760
16250.000000	76.265
16500.000000	75.661
16750.000000	75.002
17000.000000	74.320
17250.000000	73.618
17500.000000	72.901
17750.000000	72.168
18000.000000	71.422
18250.000000	70.673
18500.000000	69.933
18750.000000	69.223
19000.000000	68.546
19250.000000	67.900
19500.000000	67.286
19750.000000	66.723
20000.000000	66.479
