frequency,raw,smoothed
424.32,-3.64,-3.64
428.56,-3.6,-3.61
432.85,-3.57,-3.57
437.18,-3.54,-3.54
441.55,-3.5,-3.5
445.96,-3.46,-3.46
450.42,-3.42,-3.42
454.93,-3.39,-3.39
459.48,-3.36,-3.36
464.07,-3.34,-3.34
468.71,-3.32,-3.32
473.4,-3.3,-3.3
478.13,-3.28,-3.28
482.91,-3.25,-3.25
487.74,-3.23,-3.23
492.62,-3.21,-3.22
497.55,-3.2,-3.2
502.52,-3.17,-3.17
507.55,-3.14,-3.14
512.62,-3.11,-3.11
517.75,-3.07,-3.08
522.93,-3.04,-3.04
528.16,-3.01,-3.0
533.44,-2.96,-2.97
538.77,-2.91,-2.93
544.16,-2.91,-2.89
549.6,-2.85,-2.85
555.1,-2.79,-2.8
560.65,-2.73,-2.73
566.25,-2.68,-2.68
571.92,-2.63,-2.64
577.64,-2.6,-2.6
583.41,-2.57,-2.57
589.25,-2.54,-2.53
595.14,-2.48,-2.48
601.09,-2.41,-2.42
607.1,-2.35,-2.35
613.17,-2.29,-2.28
619.3,-2.2,-2.21
625.5,-2.13,-2.14
631.75,-2.08,-2.08
638.07,-2.03,-2.03
644.45,-1.98,-1.98
650.89,-1.94,-1.95
657.4,-1.94,-1.95
663.98,-1.96,-1.96
670.62,-1.97,-1.97
677.32,-1.95,-1.95
684.1,-1.91,-1.91
690.94,-1.85,-1.86
697.85,-1.81,-1.81
704.83,-1.75,-1.75
711.87,-1.69,-1.69
718.99,-1.63,-1.63
726.18,-1.58,-1.58
733.44,-1.54,-1.53
740.78,-1.5,-1.51
748.19,-1.49,-1.5
755.67,-1.53,-1.53
763.23,-1.58,-1.58
770.86,-1.63,-1.63
778.57,-1.66,-1.65
786.35,-1.65,-1.65
794.22,-1.61,-1.61
802.16,-1.56,-1.57
810.18,-1.51,-1.51
818.28,-1.46,-1.46
826.46,-1.4,-1.41
834.73,-1.34,-1.35
843.08,-1.29,-1.28
851.51,-1.21,-1.19
860.02,-1.08,-1.1
868.62,-1.01,-1.02
877.31,-0.96,-0.95
886.08,-0.9,-0.9
894.94,-0.83,-0.84
903.89,-0.76,-0.76
912.93,-0.68,-0.68
922.06,-0.58,-0.6
931.28,-0.5,-0.48
940.59,-0.4,-0.38
950.0,-0.23,-0.29
959.5,-0.24,-0.21
969.09,-0.16,-0.15
978.78,-0.09,-0.12
988.57,-0.07,-0.05
998.46,-0.01,0.0
1008.44,0.07,0.04
1018.53,0.11,0.08
1028.71,0.1,0.14
1039.0,0.21,0.24
1049.39,0.36,0.35
1059.88,0.5,0.42
1070.48,0.38,0.39
1081.19,0.28,0.3
1092.0,0.2,0.19
1102.92,0.14,0.13
1113.95,0.11,0.14
1125.09,0.18,0.2
1136.34,0.33,0.28
1147.7,0.35,0.34
1159.18,0.33,0.35
1170.77,0.31,0.29
1182.48,0.22,0.17
1194.3,0.12,0.14
1206.25,0.04,0.19
1218.31,0.42,0.31
1230.49,0.45,0.38
1242.8,0.39,0.37
1255.22,0.2,0.26
1267.78,0.19,0.23
1280.45,0.3,0.27
1293.26,0.42,0.41
1306.19,0.53,0.55
1319.25,0.7,0.67
1332.45,0.76,0.76
1345.77,0.79,0.8
1359.23,0.8,0.78
1372.82,0.74,0.75
1386.55,0.68,0.69
1400.41,0.65,0.62
1414.42,0.56,0.54
1428.56,0.48,0.49
1442.85,0.49,0.58
1457.28,0.66,0.72
1471.85,0.96,0.73
1486.57,0.68,0.63
1501.43,0.28,0.46
1516.45,0.33,0.34
1531.61,0.43,0.42
1546.93,0.61,0.57
1562.4,0.65,0.62
1578.02,0.62,0.6
1593.8,0.52,0.56
1609.74,0.55,0.57
1625.84,0.66,0.64
1642.1,0.76,0.78
1658.52,0.83,0.84
1675.1,0.85,0.73
1691.85,0.45,0.39
1708.77,0.02,0.06
1725.86,-0.38,-0.12
1743.12,0.01,-0.09
1760.55,0.12,-0.02
1778.15,0.03,0.03
1795.94,-0.15,-0.05
1813.9,-0.11,-0.14
1832.03,-0.13,-0.24
1850.36,-0.33,-0.26
1868.86,-0.31,-0.19
1887.55,-0.05,-0.11
1906.42,0.12,-0.04
1925.49,-0.12,-0.03
1944.74,-0.14,-0.07
1964.19,-0.04,-0.09
1983.83,-0.0,-0.06
2003.67,-0.07,-0.04
2023.71,-0.04,0.02
2043.94,0.11,0.1
2064.38,0.26,0.18
2085.03,0.21,0.21
2105.88,0.18,0.23
2126.94,0.24,0.25
2148.2,0.36,0.29
2169.69,0.33,0.33
2191.38,0.35,0.39
2213.3,0.48,0.49
2235.43,0.68,0.66
2257.78,0.86,0.86
2280.36,1.03,0.99
2303.17,1.18,1.15
2326.2,1.26,1.39
2349.46,1.74,1.7
2372.95,2.14,2.07
2396.68,2.41,2.44
2420.65,2.72,2.69
2444.86,2.98,2.97
2469.31,3.19,3.28
2494.0,3.63,3.58
2518.94,3.87,3.83
2544.13,4.0,3.97
2569.57,3.98,3.99
2595.27,4.02,4.04
2621.22,4.11,4.18
2647.43,4.41,4.4
2673.9,4.65,4.56
2700.64,4.71,4.68
2727.65,4.63,4.73
2754.93,4.81,4.76
2782.48,4.87,4.88
2810.3,4.99,5.06
2838.4,5.26,5.17
2866.79,5.34,5.28
2895.46,5.28,5.39
2924.41,5.46,5.47
2953.65,5.65,5.58
2983.19,5.68,5.66
3013.02,5.68,5.7
3043.15,5.67,5.71
3073.58,5.85,5.8
3104.32,5.89,5.96
3135.36,6.13,6.1
3166.72,6.23,6.19
3198.38,6.16,6.23
3230.37,6.07,5.98
3262.67,5.7,5.56
3295.3,4.89,5.07
3328.25,4.53,4.56
3361.53,4.21,4.14
3395.15,3.84,3.85
3429.1,3.54,3.57
3463.39,3.3,3.29
3498.03,3.1,3.03
3533.01,2.76,2.81
3568.34,2.58,2.63
3604.02,2.56,2.52
3640.06,2.47,2.5
3676.46,2.42,2.4
3713.22,2.25,2.17
3750.36,1.83,1.81
3787.86,1.46,1.5
3825.74,1.18,1.34
3864.0,1.43,1.32
3902.64,1.43,1.39
3941.66,1.39,1.45
3981.08,1.4,1.34
4020.89,1.26,1.14
4061.1,0.98,1.0
4101.71,0.96,1.32
4142.73,1.69,1.79
4184.15,2.82,2.17
4226.0,2.21,2.34
4268.26,1.92,2.2
4310.94,2.05,1.96
4354.05,2.03,1.94
4397.59,1.92,1.95
4441.56,1.76,1.85
4485.98,1.93,1.73
4530.84,1.64,1.78
4576.15,1.72,1.88
4621.91,2.19,1.93
4668.13,1.94,1.97
4714.81,1.75,1.8
4761.96,1.54,1.49
4809.58,1.19,1.26
4857.67,1.03,1.0
4906.25,0.76,0.73
4955.31,0.43,0.43
5004.87,0.1,0.09
5054.91,-0.23,-0.22
5105.46,-0.48,-0.46
5156.52,-0.66,-0.64
5208.08,-0.77,-0.81
5260.16,-0.99,-1.01
5312.77,-1.24,-1.24
5365.89,-1.49,-1.48
5419.55,-1.69,-1.65
5473.75,-1.82,-1.84
5528.49,-1.92,-2.02
5583.77,-2.26,-2.18
5639.61,-2.3,-2.25
5696.0,-2.22,-2.2
5752.96,-2.05,-2.07
5810.49,-1.92,-1.98
5868.6,-1.96,-1.91
5927.28,-1.89,-1.83
5986.56,-1.71,-1.73
6046.42,-1.55,-1.6
6106.89,-1.44,-1.37
6167.96,-1.21,-1.11
6229.64,-0.62,-0.79
6291.93,-0.43,-0.41
6354.85,0.01,-0.02
6418.4,0.49,0.33
6482.58,0.95,0.7
6547.41,1.34,0.98
6612.88,1.68,1.16
6679.01,1.94,1.25
6745.8,2.1,1.2
6813.26,2.15,1.01
6881.39,1.92,0.75
6950.21,1.75,0.46
7019.71,1.58,0.16
7089.91,1.37,-0.09
7160.81,1.16,-0.33
7232.41,0.88,-0.51
7304.74,0.53,-0.63
7377.79,0.36,-0.75
7451.56,-0.11,-0.86
7526.08,-0.54,-0.96
7601.34,-0.68,-1.06
7677.35,-0.85,-1.15
7754.13,-1.06,-1.24
7831.67,-1.7,-1.33
7909.98,-1.99,-1.43
7989.08,-1.74,-1.53
8068.98,-1.2,-1.66
8149.67,-0.38,-1.79
8231.16,0.83,-1.93
8313.47,1.81,-2.07
8396.61,2.55,-2.19
8480.57,2.62,-2.29
8565.38,2.43,-2.37
8651.03,1.73,-2.42
8737.54,0.26,-2.45
8824.92,-1.75,-2.49
8913.17,-4.4,-2.55
9002.3,-7.32,-2.61
9092.32,-11.97,-2.67
9183.25,-17.22,-2.73
9275.08,-19.56,-2.76
9367.83,-13.38,-2.78
9461.51,-8.95,-2.79
9556.12,-6.91,-2.78
9651.68,-5.84,-2.76
9748.2,-3.77,-2.72
9845.68,-3.3,-2.68
9944.14,-2.38,-2.64
10043.58,-1.24,-2.59
10144.02,-0.15,-2.67
10245.46,-0.04,-2.75
10347.91,-0.19,-2.84
10451.39,-0.61,-2.92
10555.91,-1.57,-3.01
10661.46,-1.82,-3.1
10768.08,-1.62,-3.19
10875.76,-1.67,-3.28
10984.52,-1.71,-3.37
11094.36,-1.67,-3.47
11205.31,-1.41,-3.57
11317.36,-1.18,-3.66
11430.53,-0.66,-3.76
11544.84,-0.13,-3.87
11660.29,-0.09,-3.97
11776.89,-0.08,-4.07
11894.66,-0.49,-4.18
12013.6,-1.0,-4.29
12133.74,-1.23,-4.4
12255.08,-2.09,-4.51
12377.63,-3.94,-4.62
12501.41,-5.9,-4.74
12626.42,-8.03,-4.86
12752.68,-8.84,-4.98
12880.21,-9.37,-5.1
13009.01,-9.91,-5.22
13139.1,-10.45,-5.34
13270.49,-10.67,-5.47
13403.2,-10.43,-5.59
13537.23,-8.97,-5.72
13672.6,-7.66,-5.85
13809.33,-6.47,-5.98
13947.42,-4.89,-6.12
14086.9,-5.26,-6.25
14227.77,-6.8,-6.39
14370.04,-9.71,-6.53
14513.74,-13.44,-6.67
14658.88,-11.5,-6.81
14805.47,-9.73,-6.95
14953.52,-8.23,-7.1
15103.06,-7.54,-7.25
15254.09,-7.24,-7.39
15406.63,-7.6,-7.54
15560.7,-7.2,-7.7
15716.3,-5.62,-7.85
15873.47,-3.8,-8.0
16032.2,-2.11,-8.16
16192.52,-1.13,-8.32
16354.45,-0.45,-8.48
16517.99,-0.06,-8.64
16683.17,-0.79,-8.81
16850.01,-2.52,-8.97
17018.51,-4.9,-9.14
17188.69,-7.29,-9.31
17360.58,-8.51,-9.48
17534.18,-8.66,-9.65
17709.53,-7.04,-9.82
17886.62,-6.45,-10.0
18065.49,-6.4,-10.18
18246.14,-6.77,-10.35
18428.6,-7.88,-10.53
18612.89,-9.54,-10.72
18799.02,-11.55,-10.9
18987.01,-13.57,-11.09
19176.88,-15.44,-11.27
19368.65,-17.28,-11.46
19562.33,-19.0,-11.65
19757.96,-20.52,-11.84
19955.54,-22.03,-12.04
