frequency,raw,smoothed
1887.55,1.28,1.25
1906.42,1.35,1.31
1925.49,1.32,1.4
1944.74,1.51,1.54
1964.19,1.74,1.67
1983.83,1.85,1.81
2003.67,1.81,1.9
2023.71,1.98,1.95
2043.94,2.05,2.02
2064.38,2.09,2.1
2085.03,2.17,2.16
2105.88,2.25,2.29
2126.94,2.43,2.45
2148.2,2.65,2.58
2169.69,2.68,2.65
2191.38,2.64,2.69
2213.3,2.7,2.73
2235.43,2.87,2.84
2257.78,3.02,2.99
2280.36,3.18,3.21
2303.17,3.39,3.47
2326.2,3.84,3.76
2349.46,4.06,4.03
2372.95,4.23,4.25
2396.68,4.4,4.39
2420.65,4.55,4.58
2444.86,4.76,4.77
2469.31,5.0,4.94
2494.0,5.06,5.09
2518.94,5.2,5.22
2544.13,5.35,5.35
2569.57,5.51,5.49
2595.27,5.64,5.65
2621.22,5.76,5.81
2647.43,6.03,5.95
2673.9,6.07,6.1
2700.64,6.19,6.23
2727.65,6.39,6.33
2754.93,6.45,6.48
2782.48,6.59,6.6
2810.3,6.72,6.7
2838.4,6.79,6.78
2866.79,6.83,6.83
2895.46,6.86,6.87
2924.41,6.94,6.94
2953.65,7.03,7.03
2983.19,7.15,7.16
3013.02,7.29,7.29
3043.15,7.42,7.4
3073.58,7.49,7.48
3104.32,7.53,7.53
3135.36,7.55,7.56
3166.72,7.6,7.61
3198.38,7.67,7.69
3230.37,7.78,7.76
3262.67,7.83,7.8
3295.3,7.79,7.82
3328.25,7.8,7.8
3361.53,7.79,7.77
3395.15,7.73,7.72
3429.1,7.65,7.66
3463.39,7.59,7.6
3498.03,7.56,7.55
3533.01,7.53,7.53
3568.34,7.52,7.53
3604.02,7.56,7.56
3640.06,7.62,7.61
3676.46,7.69,7.69
3713.22,7.79,7.79
3750.36,7.91,7.91
3787.86,8.06,8.05
3825.74,8.21,8.22
3864.0,8.4,8.4
3902.64,8.6,8.6
3941.66,8.8,8.79
3981.08,8.95,8.95
4020.89,9.06,9.06
4061.1,9.13,9.12
4101.71,9.13,9.13
4142.73,9.06,9.06
4184.15,8.92,8.91
4226.0,8.71,8.72
4268.26,8.47,8.47
4310.94,8.21,8.2
4354.05,7.91,7.91
4397.59,7.6,7.61
4441.56,7.3,7.29
4485.98,6.98,6.98
4530.84,6.66,6.66
4576.15,6.34,6.34
4621.91,6.04,6.04
4668.13,5.75,5.75
4714.81,5.49,5.49
4761.96,5.25,5.25
4809.58,5.03,5.03
4857.67,4.83,4.83
4906.25,4.66,4.66
4955.31,4.5,4.5
5004.87,4.36,4.36
5054.91,4.24,4.24
5105.46,4.14,4.14
5156.52,4.06,4.06
5208.08,3.99,3.99
5260.16,3.96,3.95
5312.77,3.94,3.94
5365.89,3.96,3.96
5419.55,4.02,4.02
5473.75,4.12,4.12
5528.49,4.25,4.26
5583.77,4.45,4.45
5639.61,4.7,4.69
5696.0,4.97,4.99
5752.96,5.32,5.31
5810.49,5.68,5.67
5868.6,6.05,6.04
5927.28,6.42,6.4
5986.56,6.79,6.75
6046.42,7.11,7.05
6106.89,7.37,7.28
6167.96,7.54,7.42
6229.64,7.62,7.44
6291.93,7.57,7.33
6354.85,7.37,7.09
6418.4,7.11,6.74
6482.58,6.7,6.29
6547.41,6.25,5.8
6612.88,5.79,5.29
6679.01,5.33,4.81
6745.8,4.89,4.35
6813.26,4.48,3.93
6881.39,4.07,3.52
6950.21,3.63,3.13
7019.71,3.19,2.77
7089.91,2.76,2.43
7160.81,2.4,2.11
7232.41,2.1,1.83
7304.74,1.87,1.56
7377.79,1.71,1.3
7451.56,1.58,1.05
7526.08,1.51,0.81
7601.34,1.49,0.56
7677.35,1.53,0.31
7754.13,1.6,0.05
7831.67,1.73,-0.21
7909.98,1.88,-0.48
7989.08,2.06,-0.76
8068.98,2.28,-1.04
8149.67,2.44,-1.32
8231.16,2.48,-1.59
8313.47,2.09,-1.85
8396.61,1.38,-2.08
8480.57,-0.11,-2.3
8565.38,-2.48,-2.5
8651.03,-5.72,-2.68
8737.54,-10.04,-2.85
8824.92,-16.61,-3.01
8913.17,-17.95,-3.17
9002.3,-16.96,-3.33
9092.32,-12.54,-3.52
9183.25,-9.38,-3.72
9275.08,-7.0,-3.93
9367.83,-5.26,-4.12
9461.51,-3.87,-4.3
9556.12,-2.76,-4.47
9651.68,-1.92,-4.62
9748.2,-1.28,-4.77
9845.68,-1.16,-4.9
9944.14,-1.19,-5.01
10043.58,-1.39,-5.11
10144.02,-1.7,-5.23
10245.46,-2.11,-5.34
10347.91,-2.56,-5.45
10451.39,-3.05,-5.55
10555.91,-3.53,-5.66
10661.46,-4.03,-5.76
10768.08,-4.5,-5.86
10875.76,-4.83,-5.95
10984.52,-4.92,-6.04
11094.36,-4.9,-6.13
11205.31,-4.78,-6.22
11317.36,-4.61,-6.3
11430.53,-4.48,-6.38
11544.84,-4.6,-6.46
11660.29,-5.04,-6.53
11776.89,-5.95,-6.6
11894.66,-8.46,-6.67
12013.6,-11.26,-6.74
12133.74,-13.76,-6.8
12255.08,-14.72,-6.86
12377.63,-14.05,-6.92
12501.41,-13.51,-6.98
12626.42,-13.63,-7.03
12752.68,-14.04,-7.08
12880.21,-14.54,-7.12
13009.01,-15.05,-7.17
13139.1,-15.56,-7.21
