frequency,raw,smoothed
13270.49,-21.74,-8.88
13403.2,-20.67,-8.93
13537.23,-19.54,-8.98
13672.6,-17.76,-9.02
13809.33,-15.39,-9.07
13947.42,-12.49,-9.11
14086.9,-9.77,-9.15
14227.77,-7.17,-9.19
14370.04,-5.14,-9.22
14513.74,-3.89,-9.25
14658.88,-4.25,-9.29
14805.47,-4.78,-9.31
14953.52,-5.59,-9.34
15103.06,-6.13,-9.37
15254.09,-6.55,-9.39
15406.63,-6.48,-9.41
15560.7,-6.19,-9.43
15716.3,-5.55,-9.44
15873.47,-4.66,-9.46
16032.2,-3.72,-9.47
16192.52,-2.92,-9.48
16354.45,-2.82,-9.49
16517.99,-3.24,-9.49
16683.17,-4.72,-9.5
16850.01,-5.82,-9.5
17018.51,-6.59,-9.5
17188.69,-6.65,-9.49
17360.58,-6.84,-9.49
17534.18,-7.17,-9.48
17709.53,-7.83,-9.47
17886.62,-8.43,-9.46
18065.49,-8.67,-9.45
18246.14,-8.32,-9.43
18428.6,-7.69,-9.41
18612.89,-7.72,-9.39
18799.02,-8.28,-9.37
18987.01,-9.14,-9.35
19176.88,-9.94,-9.32
19368.65,-10.76,-9.29
19562.33,-11.7,-9.26
19757.96,-12.87,-9.23
19955.54,-14.03,-9.19
